business_id,positive_photos,negative_photos
rnvsL0oFZpzpO61GXqBF6g,4,6
Bmv3nHS2nfjzhkDQMsLAWQ,0,1
7gHdVSAz_Dm1wS1ZImJSiQ,2,2
WfDB6grqF9-1bOAP505Lqg,0,1
xsdRrNJuNumvrwoQ2Tt8tQ,9,2
n5iwkQQH9nipqi_8cEyNiQ,3,1
p8AwMheeFJ_8pP2EpOAPsA,2,0
flgxUeGy8xctqiykaMVOLA,2,1
nIskoP3-_MttghA3d-eYBA,3,3
d_cNeXjuRXceZuL6hQKmBg,2,0
Nv1PVoMJjKSutxCnGRYbnA,4,0
suJ-eo5Gkvcg0iXVQw4RyA,3,1
RruVXr3L6G5RplZ_PtDNuA,0,1
FS84wtnQv2i1cCO8hC88LA,6,0
X9v01PhbWwjrDTTOkUiOLA,1,0
bu_vAwJG1DHhM5f6ePjXog,12,2
McZz8few5LqWF37KZTK_QA,1,0
POIowl4F1ZiHdKLnx__ulw,9,0
6BnxVOwU-lPMOAS4d-b8_Q,1,0
nc7YTLSXEWPG4Q0WlI5iPQ,1,1
SjmtOnyHgdKFDUkAuyPcMw,0,1
ddVqa9ZumiwATVhlTVq4RA,3,1
wa41KP_3J9msvVHDtAOddQ,2,0
WVZOqMZR5uWQMPp3xMcHHA,10,0
XUu0kQThRtv4iXysUOEdtQ,29,2
pd40A0UmsQnBwvGmF4xoIQ,0,1
DKXUkIrFnMUMF535gf-dPA,42,10
5BAdubSKMARs3qYRHGaClA,1,7
VmLDUvoQySYrW-Rk68olhg,0,5
VMOszi0qk5wOWxZfgyaLxw,1,13
N_cCvYUP0dQeLKflgoUrXQ,4,4
rMCKv9puuu2NkYISHnwyWg,6,1
lRL7x-HMBscWyELxEVq85w,12,2
tY8iEZkq0ZloRgvHgpYHtQ,3,1
77AfVfvvjfQXslusY8QElg,0,1
JdtJ3jmMukLXU-gDjVTEgg,4,2
uNzg9P7p-7QBNp47U4koEg,1,0
0iOF4P2dMmhQRJ84h2wDeg,2,4
MXpCVzm1V5OH05KO6n7ntA,2,1
1TdqKCm_Ef9Zl8Ve4wopzQ,2,0
h58IV-LbmpycdzlwVhUhgw,8,0
HP8mkVdLa9F4Amsp2thKhQ,0,2
EOS1D1APHwlU19YL3A1PGQ,3,3
8oSlQByXcv-QXcBPD8UfNw,13,9
_nbIgkvf81AH2F6JWmbQvw,1,1
kh6wb-wPdCYvqLPuBd1Urg,2,0
R6Vd0KrHR4VvaEoY_w2P0w,0,1
DN0b4Un8--Uf6SEWLeh0UA,5,6
hF1-dtY_oXfngC8h2mY4qg,4,6
U4iqELk1IiqARpk5uJJOZg,2,1
UiRHhHhDaXzkkoJCf8LcTg,3,2
